region,municipality,students,year,metadata,city
სამეგრელო–ზემო სვანეთი,ხობი,4691,2007,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,3004,2007,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,2025,2007,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,8818,2007,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,7157,2007,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,4410,2007,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,4510,2007,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,20078,2007,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,8529,2007,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,15059,2007,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3607,2007,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,3199,2007,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,18159,2007,,დიდი ქალაქები
ქვემო ქართლი,წალკა,3965,2007,,პატარა ქალაქები
შიდა ქართლი,გორი,20695,2007,,დიდი ქალაქები
შიდა ქართლი,კასპი,6663,2007,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,7109,2007,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,10308,2007,,10 ქალაქები
შიდა ქართლი,ერედვი,814,2007,,პატარა ქალაქები
შიდა ქართლი,თიღვა,270,2007,,პატარა ქალაქები
შიდა ქართლი,ქურთა,1021,2007,,პატარა ქალაქები
თბილისი,თბილისი,179460,2008,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,3072,2008,,აფხაზეთი
აჭარის არ,ბათუმი,23499,2008,,დიდი ქალაქები
აჭარის არ,ქედა,3292,2008,,მაღალმთიანი
აჭარის არ,ქობულეთი,13655,2008,,10 ქალაქები
აჭარის არ,შუახევი,3693,2008,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,13703,2008,,10 ქალაქები
აჭარის არ,ხულო,5969,2008,,მაღალმთიანი
გურია,ლანჩხუთი,4987,2008,,მუნიციპალიტეტები
გურია,ოზურგეთი,11323,2008,,10 ქალაქები
გურია,ჩოხატაური,3371,2008,,პატარა ქალაქები
იმერეთი,ქუთაისი,29556,2008,,დიდი ქალაქები
იმერეთი,ტყიბული,3229,2008,,პატარა ქალაქები
იმერეთი,წყალტუბო,8079,2008,,მუნიციპალიტეტები
იმერეთი,ჭიათური,7286,2008,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,3613,2008,,პატარა ქალაქები
იმერეთი,ვანი,4131,2008,,პატარა ქალაქები
იმერეთი,ზესტაფონი,10730,2008,,10 ქალაქები
იმერეთი,თერჯოლა,5391,2008,,მუნიციპალიტეტები
იმერეთი,სამტრედია,8345,2008,,მუნიციპალიტეტები
იმერეთი,საჩხერე,6621,2008,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,3254,2008,,პატარა ქალაქები
იმერეთი,ხონი,3982,2008,,პატარა ქალაქები
კახეთი,ახმეტა,6326,2008,,მუნიციპალიტეტები
კახეთი,გურჯაანი,8340,2008,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,3809,2008,,პატარა ქალაქები
კახეთი,თელავი,10013,2008,,10 ქალაქები
კახეთი,ლაგოდეხი,7633,2008,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7778,2008,,მუნიციპალიტეტები
კახეთი,სიღნაღი,5113,2008,,მუნიციპალიტეტები
კახეთი,ყვარლი,5192,2008,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,484,2008,,პატარა ქალაქები
